"","claim_no","claim_size","txn_time","txn_delay","txn_type","incurred","OCL","cumpaid","multiplier"
"1",1,138026.812684583,0.772275320775444,0,"Ma",122214.797588937,122214.797588937,0,1
"2",1,138026.812684583,1.1902597464687,0.417984425693261,"PMi",121759.013140248,120358.33032587,1400.6828143784,0.99421117923409
"3",1,138026.812684583,1.88677668717891,1.11450136640347,"PMi",125827.073598729,122964.040250488,2863.03334824107,1.03020088989223
"4",1,138026.812684583,2.30990773666234,1.5376324158869,"P",125827.073598729,121698.870605188,4128.20299354105,NA
"5",1,138026.812684583,2.44751794947465,1.67524262869921,"P",125827.073598729,120074.345733449,5752.72786527971,NA
"6",1,138026.812684583,2.68944909178885,1.9171737710134,"PMi",135599.080631626,128427.608305434,7171.4723261924,1.07690434252139
"7",1,138026.812684583,3.00022878152507,2.22795346074963,"PMi",151406.828753566,142725.673830354,8681.15492321167,1.12127437709667
"8",1,138026.812684583,3.483028580674,2.71075325989856,"PMi",163380.085229991,153216.894100413,10163.1911295771,1.08115719692314
"9",1,138026.812684583,3.90311099669117,3.13083567591572,"P",163380.085229991,151683.08787211,11696.9973578807,NA
"10",1,138026.812684583,4.43518304508244,3.66290772430699,"PMi",146584.799162708,133095.886935801,13488.9122269078,0.884729205577545
"11",1,138026.812684583,4.89711505637459,4.12483973559915,"PMi",162810.743966412,147862.32940559,14948.4145608217,1.11911745794291
"12",1,138026.812684583,5.23332771095893,4.46105239018349,"P",162810.743966412,146249.101683639,16561.6422827732,NA
"13",1,138026.812684583,5.42851233499628,4.65623701422084,"P",162810.743966412,144472.320718807,18338.4232476047,NA
"14",1,138026.812684583,5.81898283581882,5.04670751504338,"P",162810.743966412,142960.289936763,19850.4540296486,NA
"15",1,138026.812684583,6.25611326456343,5.48383794378798,"P",162810.743966412,141285.39404942,21525.3499169921,NA
"16",1,138026.812684583,6.69290100783458,5.92062568705914,"P",162810.743966412,12251.6135650268,150559.130401385,NA
"17",1,138026.812684583,7.12463203808882,6.35235671731338,"PMi",162466.046224801,0,162466.046224801,0.826432859269788
"18",2,141214.443704319,1.47687974763059,0,"Ma",45341.3827273101,45341.3827273101,0,1
"19",2,141214.443704319,2.73679889333143,1.25991914570084,"PMi",49908.6409150847,46083.6835116984,3824.95740338629,1.09388609822725
"20",2,141214.443704319,4.71757782576589,3.24069807813531,"P",49908.6409150847,42562.9188518411,7345.72206324361,NA
"21",2,141214.443704319,5.37375970061922,3.89687995298863,"PMi",47045.2300988034,36089.6941559504,10955.535942853,0.918389521662684
"22",2,141214.443704319,6.64021151684004,5.16333176920946,"PMi",47185.5920458011,32953.6988173664,14231.8932284347,0.995717467559058
"23",2,141214.443704319,6.99888310329641,5.52200335566582,"Ma",243968.293765523,229736.400537088,14231.8932284347,5.16122534159511
"24",2,141214.443704319,7.85468514965103,6.37780540202044,"PMi",243919.873231463,226310.198272185,17609.6749592781,0.995300397382586
"25",2,141214.443704319,8.1698355419509,6.69295579432032,"PMi",244389.838192834,223353.562136987,21036.2760558468,1.00039311034256
"26",2,141214.443704319,9.47850822209483,8.00162847446424,"PMi",209699.35396246,184419.826418451,25279.5275440086,0.83862048011431
"27",2,141214.443704319,10.3320824620026,8.85520271437196,"PMi",183950.45267184,154008.223397978,29942.2292738616,0.856172782947021
"28",2,141214.443704319,11.4943923692103,10.0175126215798,"P",183950.45267184,12160.8533890157,171789.599282824,NA
"29",2,141214.443704319,12.1714719284994,10.6945921808688,"PMi",184208.141690488,0,184208.141690488,0.88387902076015
"30",3,39717.4717230039,2.94199072266942,0,"Ma",9770.58312413239,9770.58312413238,0,1
"31",3,39717.4717230039,4.64785279692418,1.70586207425476,"PMi",11118.3670638692,8229.5010346146,2888.86602925459,1.1283734196716
"32",3,39717.4717230039,5.32837762388878,2.38638690121936,"Mi",11612.0407818803,8723.17475262575,2888.86602925459,1.05524248148821
"33",3,39717.4717230039,6.14113213360288,3.19914141093346,"P",11612.0407818803,5743.53031770818,5868.51046417216,NA
"34",3,39717.4717230039,6.82079774790675,3.87880702523733,"Ma",66663.4139734421,60794.90350927,5868.51046417216,5.6986269976385
"35",3,39717.4717230039,7.37966997669208,4.43767925402266,"PMi",68079.1047242101,58863.138292527,9215.96643168307,1.02019233186338
"36",3,39717.4717230039,8.85713456602547,5.91514384335605,"P",68079.1047242101,55092.4317714166,12986.6729527935,NA
"37",3,39717.4717230039,10.1388397357697,7.19684901310024,"P",68079.1047242101,5607.07804129591,62472.0266829142,NA
"38",3,39717.4717230039,11.1332999461885,8.19130922351909,"PMi",69047.1304196881,0,69047.1304196881,0.945921173465242
"39",4,108182.326885781,1.86845390630536,0,"Ma",63248.3866663741,63248.3866663741,0,1
"40",4,108182.326885781,3.28518858394947,1.41673467764412,"PMi",87741.1002524202,80834.9631889518,6906.13706346842,1.37755067406254
"41",4,108182.326885781,3.6983725400411,1.82991863373574,"Mi",119990.791089096,113084.654025628,6906.13706346842,1.39592393484598
"42",4,108182.326885781,5.85690236867021,3.98844846236485,"Mi",145799.122829322,138892.985765854,6906.13706346842,1.21451714326816
"43",4,108182.326885781,5.87575366933045,4.00729976302509,"P",145799.122829322,130906.119593462,14893.0032358605,NA
